 rt 	  est 	  resp 	  laten 	  good 	  SU 
 328	 1	 4	 583296	 1	 P_MM_06101994
 421	 1	 4	 585655	 1	 P_MM_06101994
 -99	 2	 -99	 587062	 1	 P_MM_06101994
 297	 1	 4	 589124	 1	 P_MM_06101994
 -99	 2	 -99	 590421	 1	 P_MM_06101994
 280	 1	 4	 592312	 1	 P_MM_06101994
 312	 1	 4	 593609	 1	 P_MM_06101994
 345	 1	 4	 595451	 1	 P_MM_06101994
 375	 1	 4	 597734	 1	 P_MM_06101994
 328	 1	 4	 600046	 1	 P_MM_06101994
 470	 1	 4	 601264	 1	 P_MM_06101994
 250	 1	 4	 602437	 1	 P_MM_06101994
 -99	 2	 -99	 603451	 1	 P_MM_06101994
 297	 1	 4	 605312	 1	 P_MM_06101994
 283	 1	 4	 607576	 1	 P_MM_06101994
 296	 1	 4	 608609	 1	 P_MM_06101994
 282	 1	 4	 610889	 1	 P_MM_06101994
 313	 1	 4	 611796	 1	 P_MM_06101994
 -99	 2	 -99	 613076	 1	 P_MM_06101994
 391	 1	 4	 51234	 1	 MAFD_30111993
 329	 1	 4	 53155	 1	 MAFD_30111993
 296	 1	 4	 55359	 1	 MAFD_30111993
 297	 1	 4	 56891	 1	 MAFD_30111993
 312	 1	 4	 58063	 1	 MAFD_30111993
 -99	 2	 -99	 59453	 1	 MAFD_30111993
 266	 1	 4	 60609	 1	 MAFD_30111993
 296	 1	 4	 62875	 1	 MAFD_30111993
 297	 1	 4	 65203	 1	 MAFD_30111993
 328	 1	 4	 66218	 1	 MAFD_30111993
 281	 1	 4	 68078	 1	 MAFD_30111993
 359	 1	 4	 69875	 1	 MAFD_30111993
 266	 1	 4	 72125	 1	 MAFD_30111993
 -99	 2	 -99	 74109	 1	 MAFD_30111993
 280	 1	 4	 75891	 1	 MAFD_30111993
 -99	 2	 -99	 77796	 1	 MAFD_30111993
 282	 1	 4	 79093	 1	 MAFD_30111993
 264	 1	 4	 81016	 1	 MAFD_30111993
 298	 1	 4	 82218	 1	 MAFD_30111993
 -99	 2	 -99	 83703	 1	 MAFD_30111993
 264	 1	 4	 85766	 1	 MAFD_30111993
 -99	 2	 -99	 87203	 1	 MAFD_30111993
 359	 1	 4	 88546	 1	 MAFD_30111993
 264	 1	 4	 90141	 1	 MAFD_30111993
 296	 1	 4	 92125	 1	 MAFD_30111993
 -99	 2	 -99	 93671	 1	 MAFD_30111993
 236	 1	 4	 95405	 1	 MAFD_30111993
 266	 1	 4	 97359	 1	 MAFD_30111993
 280	 1	 4	 98891	 1	 MAFD_30111993
 250	 1	 4	 100984	 1	 MAFD_30111993
 265	 1	 4	 102938	 1	 MAFD_30111993
 313	 1	 4	 104671	 1	 MAFD_30111993
 361	 1	 4	 106780	 1	 MAFD_30111993
 264	 2	 4	 108891	 1	 MAFD_30111993
 266	 1	 4	 110655	 1	 MAFD_30111993
 266	 1	 4	 112625	 1	 MAFD_30111993
 313	 1	 4	 113780	 1	 MAFD_30111993
 -99	 2	 -99	 114891	 1	 MAFD_30111993
 265	 1	 4	 116438	 1	 MAFD_30111993
 266	 1	 4	 118375	 1	 MAFD_30111993
 329	 1	 4	 119905	 1	 MAFD_30111993
 280	 1	 4	 121688	 1	 MAFD_30111993
 345	 1	 4	 122843	 1	 MAFD_30111993
 282	 1	 4	 125218	 1	 MAFD_30111993
 282	 1	 4	 127359	 1	 MAFD_30111993
 -99	 2	 -99	 128405	 1	 MAFD_30111993
 375	 1	 4	 129484	 1	 MAFD_30111993
 282	 1	 4	 130843	 1	 MAFD_30111993
 297	 1	 4	 132546	 1	 MAFD_30111993
 283	 1	 4	 134905	 1	 MAFD_30111993
 282	 1	 4	 136984	 1	 MAFD_30111993
 343	 1	 4	 138891	 1	 MAFD_30111993
 281	 1	 4	 141078	 1	 MAFD_30111993
 -99	 2	 -99	 143438	 1	 MAFD_30111993
 280	 1	 4	 145250	 1	 MAFD_30111993
 265	 1	 4	 146703	 1	 MAFD_30111993
 468	 1	 4	 147703	 1	 MAFD_30111993
 264	 2	 4	 149016	 1	 MAFD_30111993
 282	 1	 4	 151046	 1	 MAFD_30111993
 266	 1	 4	 152984	 1	 MAFD_30111993
 282	 1	 4	 154109	 1	 MAFD_30111993
 -99	 2	 -99	 155359	 1	 MAFD_30111993
 298	 1	 4	 156405	 1	 MAFD_30111993
 250	 1	 4	 158530	 1	 MAFD_30111993
 375	 1	 4	 159546	 1	 MAFD_30111993
 345	 1	 4	 161155	 1	 MAFD_30111993
 313	 1	 4	 162203	 1	 MAFD_30111993
 297	 1	 4	 164046	 1	 MAFD_30111993
 391	 1	 4	 165593	 1	 MAFD_30111993
 -99	 2	 -99	 166813	 1	 MAFD_30111993
 267	 1	 4	 168171	 1	 MAFD_30111993
 297	 1	 4	 170453	 1	 MAFD_30111993
 312	 1	 4	 171688	 1	 MAFD_30111993
 -99	 2	 -99	 172734	 1	 MAFD_30111993
 327	 1	 4	 174766	 1	 MAFD_30111993
 313	 1	 4	 176905	 1	 MAFD_30111993
 266	 1	 4	 178359	 1	 MAFD_30111993
 -99	 2	 -99	 179828	 1	 MAFD_30111993
 297	 1	 4	 180953	 1	 MAFD_30111993
 296	 1	 4	 182109	 1	 MAFD_30111993
 312	 1	 4	 183843	 1	 MAFD_30111993
 281	 1	 4	 185078	 1	 MAFD_30111993
 298	 1	 4	 187155	 1	 MAFD_30111993
 266	 1	 4	 188905	 1	 MAFD_30111993
 313	 1	 4	 190280	 1	 MAFD_30111993
 313	 2	 4	 191828	 1	 MAFD_30111993
 312	 1	 4	 194063	 1	 MAFD_30111993
 282	 2	 4	 196218	 1	 MAFD_30111993
 296	 1	 4	 197938	 1	 MAFD_30111993
 -99	 2	 -99	 199453	 1	 MAFD_30111993
 313	 1	 4	 201578	 1	 MAFD_30111993
 296	 1	 4	 203375	 1	 MAFD_30111993
 328	 1	 4	 205063	 1	 MAFD_30111993
 -99	 2	 -99	 206578	 1	 MAFD_30111993
 390	 1	 4	 208953	 1	 MAFD_30111993
