"","rt","est","resp","laten","good","SU","Age","Sex"
"604",-99,2,-99,51460,1,22,20,"M"
"605",343,1,4,52382,1,22,20,"M"
"606",407,1,4,54428,1,22,20,"M"
"607",359,1,4,56523,1,22,20,"M"
"608",-99,2,-99,58398,1,22,20,"M"
"609",267,1,4,59428,1,22,20,"M"
"610",343,1,4,61773,1,22,20,"M"
"611",345,1,4,63037,1,22,20,"M"
"612",359,1,4,64241,1,22,20,"M"
"613",391,1,4,65991,1,22,20,"M"
"614",328,1,4,66975,1,22,20,"M"
"615",343,1,4,69210,1,22,20,"M"
"616",-99,2,-99,71523,1,22,20,"M"
"617",375,1,4,72725,1,22,20,"M"
"618",282,1,4,74491,1,22,20,"M"
"619",361,1,4,76787,1,22,20,"M"
