 rt 	  est 	  resp 	  laten 	  good 	  acu 	  seq 	  subID 	  subN 
 895.5	 12	 2	 484602.9	 1	 1	 4	 BAHA_27122000	 2
 1535.6	 12	 1	 488034.9	 1	 0	 5	 BAHA_27122000	 2
 471.2	 11	 1	 2326.4	 1	 1	 1	 BCCN_26051999	 3
 610.5	 11	 3	 5891.1	 1	 1	 2	 BCCN_26051999	 3
 375.2	 11	 1	 7814.4	 1	 1	 3	 BCCN_26051999	 3
 364.1	 11	 2	 10649.5	 1	 1	 4	 BCCN_26051999	 3
 545.7	 11	 3	 13003.9	 1	 1	 5	 BCCN_26051999	 3
 489.7	 12	 2	 16435.9	 1	 0	 1	 BCCN_26051999	 3
 743.3	 12	 2	 19934.3	 1	 1	 2	 BCCN_26051999	 3
 596.4	 12	 1	 22305.2	 1	 1	 3	 BCCN_26051999	 3
 738.7	 11	 2	 25554.9	 1	 1	 1	 BCCN_26051999	 3
 404.9	 11	 1	 28008.7	 1	 1	 2	 BCCN_26051999	 3
 407.6	 11	 2	 31357.9	 1	 1	 3	 BCCN_26051999	 3
 352	 11	 1	 35237.6	 1	 1	 4	 BCCN_26051999	 3
 421.2	 11	 1	 37376.4	 1	 1	 5	 BCCN_26051999	 3
 412.7	 11	 2	 40592.9	 1	 1	 6	 BCCN_26051999	 3
 378.7	 11	 1	 43394.9	 1	 1	 7	 BCCN_26051999	 3
 498.4	 11	 3	 46147.2	 1	 1	 8	 BCCN_26051999	 3
 827.2	 12	 1	 50010.4	 1	 1	 1	 BCCN_26051999	 3
 638.6	 12	 1	 53575	 1	 0	 2	 BCCN_26051999	 3
 885.3	 12	 1	 57040.3	 1	 0	 3	 BCCN_26051999	 3
 830.2	 12	 2	 60903.4	 1	 1	 4	 BCCN_26051999	 3
 708.9	 11	 1	 64600.7	 1	 1	 1	 BCCN_26051999	 3
 467.3	 11	 1	 67618.3	 1	 1	 2	 BCCN_26051999	 3
 664.8	 11	 3	 70204.8	 1	 1	 3	 BCCN_26051999	 3
 505.1	 11	 3	 72940.5	 1	 1	 4	 BCCN_26051999	 3
